athlete_id,race_date,fidal_event,race_name,distance_m,official_time_seconds,official_time_text,official_performance_raw,surface_type,timing_type,category,placement,wind,city,source,source_url,analysis_scope,include_in_race_context,notes,confidence_level
single_athlete_001,2024-06-28,3000 metri,3000 metri - San Biagio Di Callalta,3000,592.8,9:52.80,9:52.80,Pista,Elettrico,AM,6 se- 2,,San Biagio Di Callalta,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2024-07-27,5000 metri,5000 metri - Domegge Di Cadore,5000,1010.28,16:50.28,16:50.28,Pista,Elettrico,AM,5 su- 1,,Domegge Di Cadore,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2024-08-03,3000 metri,3000 metri - Tolmezzo,3000,558.53,9:18.53,9:18.53,Pista,Elettrico,AM,2 su- 1,,Tolmezzo,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2024-09-08,5000 metri,5000 metri - Bassano Del Grappa,5000,976.13,16:16.13,16:16.13,Pista,Elettrico,AM,5 su- 1,,Bassano Del Grappa,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2024-09-15,corsa km 5 strada,corsa km 5 strada - Pordenone,5000,991.0,16:31,16:31,Strada,Manuale,AM,6 su- 1,,Pordenone,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2024-10-06,Corsa strada Km 10,Corsa strada Km 10 - Arezzo,10000,2054.0,34:14,34:14,Strada,Manuale,AM,39 su- 1,,Arezzo,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-01-18,3000 metri,3000 metri - Padova,3000,552.22,9:12.22,9:12.22,Indoor,Elettrico,JM,6 se- 4,,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-02-09,3000 metri,3000 metri - Padova,3000,546.25,9:06.25,9:06.25,Indoor,Elettrico,JM,2 se- 4,,Padova,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-05-10,1500 metri,1500 metri - San Biagio Di Callalta,1500,265.56,4:25.56,4:25.56,Pista,Elettrico,JM,7 se- 4,,San Biagio Di Callalta,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-05-24,1500 metri,1500 metri - Valeggio Sul Mincio,1500,263.47,4:23.47,4:23.47,Pista,Elettrico,JM,4 se- 4,,Valeggio Sul Mincio,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-06-29,5000 metri,5000 metri - Scorzè,5000,962.66,16:02.66,16:02.66,Pista,Elettrico,JM,5 su- 1,,Scorzè,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-07-23,1500 metri,1500 metri - Montebelluna,1500,250.61,4:10.61,4:10.61,Pista,Elettrico,JM,1 se- 3,,Montebelluna,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-08-23,800 metri,800 metri - Cles,800,125.66,2:05.66,2:05.66,Pista,Elettrico,JM,1 se- 3,,Cles,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-09-06,1500 metri,1500 metri - Bassano Del Grappa,1500,255.27,4:15.27,4:15.27,Pista,Elettrico,JM,2 su- 1,,Bassano Del Grappa,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-09-07,5000 metri,5000 metri - Bassano Del Grappa,5000,959.98,15:59.98,15:59.98,Pista,Elettrico,JM,1 su- 1,,Bassano Del Grappa,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2025-09-28,5000 metri,5000 metri - Trieste,5000,954.2,15:54.20,15:54.20,Pista,Elettrico,JM,4 su- 1,,Trieste,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2026-05-01,3000 metri,3000 metri - Este,3000,551.1,9:11.10,9:11.10,Pista,Elettrico,JM,11 se- 1,,Este,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2026-05-17,5000 metri,5000 metri - Conegliano,5000,954.63,15:54.63,15:54.63,Pista,Elettrico,JM,2 se- 2,,Conegliano,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
single_athlete_001,2026-05-30,5000 metri,5000 metri - Borgo Valbelluna,5000,943.94,15:43.94,15:43.94,Pista,Elettrico,JM,1 se- 2,,Borgo Valbelluna,FIDAL athlete profile,https://www.fidal.it/atleta/BERTOLDO+Andrea/eK2Rk5OmaWM%3D,endurance,yes,,high
